Time(s),StepIndex,C0_LocalTx,C0_LocalTy,C0_RzDeg,C1_LocalTx,C1_LocalTy,C1_RzDeg,C2_LocalTx,C2_LocalTy,C2_RzDeg,C3_LocalTx,C3_LocalTy,C3_RzDeg,C4_LocalTx,C4_LocalTy,C4_RzDeg,C5_LocalTx,C5_LocalTy,C5_RzDeg,C6_LocalTx,C6_LocalTy,C6_RzDeg
0.700000,21,-0.863296,-0.561277,0.075356,-1.149497,-1.110892,0.240768,0.012251,-0.597092,-0.189165,0.356022,-0.329295,0.064700,-0.111942,-0.067952,-0.009817,-0.350045,0.976668,0.295247,0.000000,0.000000,0.000000
0.733333,22,-0.904406,-0.588005,0.078944,-1.204235,-1.163791,0.252234,0.012834,-0.625525,-0.198172,0.372976,-0.344976,0.067781,-0.117273,-0.071188,-0.010284,-0.366714,1.023176,0.309307,0.000000,0.000000,0.000000
0.766667,23,-0.945515,-0.614732,0.082533,-1.258973,-1.216691,0.263699,0.013418,-0.653958,-0.207180,0.389929,-0.360657,0.070862,-0.122604,-0.074423,-0.010752,-0.383383,1.069684,0.323366,0.000000,0.000000,0.000000
0.800000,24,-0.986624,-0.641460,0.086121,-1.313711,-1.269590,0.275164,0.014001,-0.682391,-0.216188,0.406883,-0.376337,0.073943,-0.127934,-0.077659,-0.011219,-0.400052,1.116192,0.337425,0.000000,0.000000,0.000000
0.833333,25,-1.027734,-0.668187,0.089709,-1.368449,-1.322490,0.286629,0.014585,-0.710824,-0.225196,0.423836,-0.392018,0.077024,-0.133265,-0.080895,-0.011687,-0.416721,1.162700,0.351485,0.000000,0.000000,0.000000
0.866667,26,-1.068843,-0.694915,0.093298,-1.423187,-1.375390,0.298094,0.015168,-0.739257,-0.234204,0.440790,-0.407699,0.080105,-0.138595,-0.084131,-0.012154,-0.433389,1.209208,0.365544,0.000000,0.000000,0.000000
0.900000,27,-1.109953,-0.721642,0.096886,-1.477925,-1.428289,0.309559,0.015751,-0.767690,-0.243212,0.457743,-0.423379,0.083186,-0.143926,-0.087367,-0.012622,-0.450058,1.255716,0.379603,0.000000,0.000000,0.000000
0.933333,28,-1.151062,-0.748370,0.100474,-1.532663,-1.481189,0.321025,0.016335,-0.796123,-0.252220,0.474696,-0.439060,0.086267,-0.149256,-0.090602,-0.013089,-0.466727,1.302224,0.393663,0.000000,0.000000,0.000000
0.966667,29,-1.192171,-0.775097,0.104063,-1.587401,-1.534088,0.332490,0.016918,-0.824556,-0.261227,0.491650,-0.454741,0.089348,-0.154587,-0.093838,-0.013557,-0.483396,1.348732,0.407722,0.000000,0.000000,0.000000
1.000000,30,-1.233281,-0.801825,0.107651,-1.642139,-1.586988,0.343955,0.017501,-0.852989,-0.270235,0.508603,-0.470422,0.092429,-0.159918,-0.097074,-0.014024,-0.500065,1.395240,0.421782,0.000000,0.000000,0.000000
1.033333,31,-1.274390,-0.828552,0.111239,-1.696877,-1.639888,0.355420,0.018085,-0.881422,-0.279243,0.525557,-0.486102,0.095510,-0.165248,-0.100310,-0.014492,-0.516734,1.441748,0.435841,0.000000,0.000000,0.000000
1.066667,32,-1.315499,-0.855280,0.114828,-1.751615,-1.692787,0.366885,0.018668,-0.909855,-0.288251,0.542510,-0.501783,0.098591,-0.170579,-0.103546,-0.014959,-0.533402,1.488256,0.449900,0.000000,0.000000,0.000000
1.100000,33,-1.356609,-0.882007,0.118416,-1.806353,-1.745687,0.378350,0.019252,-0.938288,-0.297259,0.559464,-0.517464,0.101672,-0.175909,-0.106781,-0.015427,-0.550071,1.534764,0.463960,0.000000,0.000000,0.000000
1.133333,34,-1.397718,-0.908735,0.122005,-1.861091,-1.798586,0.389816,0.019835,-0.966721,-0.306267,0.576417,-0.533144,0.104753,-0.181240,-0.110017,-0.015894,-0.566740,1.581272,0.478019,0.000000,0.000000,0.000000
1.166667,35,-1.438827,-0.935462,0.125593,-1.915829,-1.851486,0.401281,0.020418,-0.995154,-0.315274,0.593371,-0.548825,0.107834,-0.186571,-0.113253,-0.016362,-0.583409,1.627780,0.492079,0.000000,0.000000,0.000000
1.200000,36,-1.479937,-0.962190,0.129181,-1.970567,-1.904386,0.412746,0.021002,-1.023587,-0.324282,0.610324,-0.564506,0.110915,-0.191901,-0.116489,-0.016829,-0.600078,1.674288,0.506138,0.000000,0.000000,0.000000
1.233333,37,-1.521046,-0.988917,0.132770,-2.025305,-1.957285,0.424211,0.021585,-1.052020,-0.333290,0.627277,-0.580187,0.113996,-0.197232,-0.119725,-0.017297,-0.616747,1.720796,0.520197,0.000000,0.000000,0.000000
1.266667,38,-1.562155,-1.015645,0.136358,-2.080043,-2.010185,0.435676,0.022169,-1.080453,-0.342298,0.644231,-0.595867,0.117077,-0.202562,-0.122960,-0.017764,-0.633415,1.767304,0.534257,0.000000,0.000000,0.000000
1.300000,39,-1.603265,-1.042372,0.139946,-2.134781,-2.063084,0.447141,0.022752,-1.108886,-0.351306,0.661184,-0.611548,0.120158,-0.207893,-0.126196,-0.018232,-0.650084,1.813812,0.548316,0.000000,0.000000,0.000000
1.333333,40,-1.644374,-1.069100,0.143535,-2.189519,-2.115984,0.458607,0.023335,-1.137319,-0.360314,0.678138,-0.627229,0.123239,-0.213224,-0.129432,-0.018699,-0.666753,1.860320,0.562376,0.000000,0.000000,0.000000
1.366667,41,-1.685483,-1.095827,0.147123,-2.244257,-2.168884,0.470072,0.023919,-1.165752,-0.369321,0.695091,-0.642910,0.126320,-0.218554,-0.132668,-0.019166,-0.683422,1.906828,0.576435,0.000000,0.000000,0.000000
1.400000,42,-1.726593,-1.122555,0.150712,-2.298995,-2.221783,0.481537,0.024502,-1.194185,-0.378329,0.712045,-0.658590,0.129401,-0.223885,-0.135904,-0.019634,-0.700091,1.953337,0.590494,0.000000,0.000000,0.000000
1.433333,43,-1.767702,-1.149282,0.154300,-2.353733,-2.274683,0.493002,0.025085,-1.222618,-0.387337,0.728998,-0.674271,0.132482,-0.229215,-0.139139,-0.020101,-0.716759,1.999845,0.604554,0.000000,0.000000,0.000000
1.466667,44,-1.808812,-1.176010,0.157888,-2.408471,-2.327582,0.504467,0.025669,-1.251051,-0.396345,0.745952,-0.689952,0.135563,-0.234546,-0.142375,-0.020569,-0.733428,2.046353,0.618613,0.000000,0.000000,0.000000
1.500000,45,-1.849921,-1.202737,0.161477,-2.463209,-2.380482,0.515932,0.026252,-1.279484,-0.405353,0.762905,-0.705632,0.138644,-0.239877,-0.145611,-0.021036,-0.750097,2.092861,0.632672,0.000000,0.000000,0.000000
1.533333,46,-1.891030,-1.229465,0.165065,-2.517947,-2.433382,0.527397,0.026836,-1.307917,-0.414361,0.779858,-0.721313,0.141724,-0.245207,-0.148847,-0.021504,-0.766766,2.139369,0.646732,0.000000,0.000000,0.000000
1.566667,47,-1.932140,-1.256192,0.168653,-2.572685,-2.486281,0.538863,0.027419,-1.336350,-0.423368,0.796812,-0.736994,0.144805,-0.250538,-0.152083,-0.021971,-0.783435,2.185877,0.660791,0.000000,0.000000,0.000000
1.600000,48,-1.973249,-1.282920,0.172242,-2.627422,-2.539181,0.550328,0.028002,-1.364783,-0.432376,0.813765,-0.752675,0.147886,-0.255868,-0.155318,-0.022439,-0.800104,2.232385,0.674851,0.000000,0.000000,0.000000
1.633333,49,-2.014358,-1.309647,0.175830,-2.682160,-2.592080,0.561793,0.028586,-1.393216,-0.441384,0.830719,-0.768355,0.150967,-0.261199,-0.158554,-0.022906,-0.816772,2.278893,0.688910,0.000000,0.000000,0.000000
1.666667,50,-2.055468,-1.336375,0.179419,-2.736898,-2.644980,0.573258,0.029169,-1.421649,-0.450392,0.847672,-0.784036,0.154048,-0.266529,-0.161790,-0.023374,-0.833441,2.325401,0.702969,0.000000,0.000000,0.000000
1.700000,51,-2.096577,-1.363102,0.183007,-2.791636,-2.697880,0.584723,0.029752,-1.450081,-0.459400,0.864626,-0.799717,0.157129,-0.271860,-0.165026,-0.023841,-0.850110,2.371909,0.717029,0.000000,0.000000,0.000000
1.733333,52,-2.137686,-1.389830,0.186595,-2.846374,-2.750779,0.596188,0.030336,-1.478514,-0.468408,0.881579,-0.815397,0.160210,-0.277191,-0.168262,-0.024309,-0.866779,2.418417,0.731088,0.000000,0.000000,0.000000
1.766667,53,-2.178796,-1.416557,0.190184,-2.901112,-2.803679,0.607654,0.030919,-1.506947,-0.477415,0.898533,-0.831078,0.163291,-0.282521,-0.171497,-0.024776,-0.883448,2.464925,0.745148,0.000000,0.000000,0.000000
1.800000,54,-2.219905,-1.443285,0.193772,-2.955850,-2.856578,0.619119,0.031503,-1.535380,-0.486423,0.915486,-0.846759,0.166372,-0.287852,-0.174733,-0.025244,-0.900117,2.511433,0.759207,0.000000,0.000000,0.000000
1.833333,55,-2.261014,-1.470012,0.197360,-3.010588,-2.909478,0.630584,0.032086,-1.563813,-0.495431,0.932440,-0.862440,0.169453,-0.293182,-0.177969,-0.025711,-0.916785,2.557941,0.773266,0.000000,0.000000,0.000000
1.866667,56,-2.302124,-1.496740,0.200949,-3.065326,-2.962378,0.642049,0.032669,-1.592246,-0.504439,0.949393,-0.878120,0.172534,-0.298513,-0.181205,-0.026179,-0.933454,2.604449,0.787326,0.000000,0.000000,0.000000
1.900000,57,-2.343233,-1.523467,0.204537,-3.120064,-3.015277,0.653514,0.033253,-1.620679,-0.513447,0.966346,-0.893801,0.175615,-0.303844,-0.184441,-0.026646,-0.950123,2.650957,0.801385,0.000000,0.000000,0.000000
1.933333,58,-2.384342,-1.550195,0.208125,-3.174802,-3.068177,0.664979,0.033836,-1.649112,-0.522455,0.983300,-0.909482,0.178696,-0.309174,-0.187676,-0.027114,-0.966792,2.697465,0.815445,0.000000,0.000000,0.000000
1.966667,59,-2.425452,-1.576922,0.211714,-3.229540,-3.121076,0.676445,0.034420,-1.677545,-0.531463,1.000253,-0.925162,0.181777,-0.314505,-0.190912,-0.027581,-0.983461,2.743973,0.829504,0.000000,0.000000,0.000000
2.000000,60,-2.466561,-1.603650,0.215302,-3.284278,-3.173976,0.687910,0.035003,-1.705978,-0.540470,1.017207,-0.940843,0.184858,-0.319835,-0.194148,-0.028049,-1.000129,2.790481,0.843563,0.000000,0.000000,0.000000
2.033333,61,-2.507671,-1.630377,0.218891,-3.339016,-3.226876,0.699375,0.035586,-1.734411,-0.549478,1.034160,-0.956524,0.187939,-0.325166,-0.197384,-0.028516,-1.016798,2.836989,0.857623,0.000000,0.000000,0.000000
2.066667,62,-2.548780,-1.657105,0.222479,-3.393754,-3.279775,0.710840,0.036170,-1.762844,-0.558486,1.051114,-0.972205,0.191020,-0.330497,-0.200620,-0.028983,-1.033467,2.883497,0.871682,0.000000,0.000000,0.000000
2.100000,63,-2.589889,-1.683832,0.226067,-3.448492,-3.332675,0.722305,0.036753,-1.791277,-0.567494,1.068067,-0.987885,0.194101,-0.335827,-0.203855,-0.029451,-1.050136,2.930005,0.885741,0.000000,0.000000,0.000000
2.133333,64,-2.630999,-1.710560,0.229656,-3.503230,-3.385574,0.733770,0.037336,-1.819710,-0.576502,1.085021,-1.003566,0.197182,-0.341158,-0.207091,-0.029918,-1.066805,2.976513,0.899801,0.000000,0.000000,0.000000
2.166667,65,-2.672108,-1.737287,0.233244,-3.557968,-3.438474,0.745236,0.037920,-1.848143,-0.585510,1.101974,-1.019247,0.200263,-0.346488,-0.210327,-0.030386,-1.083474,3.023021,0.913860,0.000000,0.000000,0.000000
2.200000,66,-2.713217,-1.764015,0.236832,-3.612706,-3.491374,0.756701,0.038503,-1.876576,-0.594517,1.118927,-1.034927,0.203344,-0.351819,-0.213563,-0.030853,-1.100142,3.069529,0.927920,0.000000,0.000000,0.000000
2.233333,67,-2.754327,-1.790742,0.240421,-3.667444,-3.544273,0.768166,0.039087,-1.905009,-0.603525,1.135881,-1.050608,0.206425,-0.357149,-0.216799,-0.031321,-1.116811,3.116037,0.941979,0.000000,0.000000,0.000000
2.266667,68,-2.795436,-1.817470,0.244009,-3.722182,-3.597173,0.779631,0.039670,-1.933442,-0.612533,1.152834,-1.066289,0.209506,-0.362480,-0.220034,-0.031788,-1.133480,3.162545,0.956038,0.000000,0.000000,0.000000
2.300000,69,-2.836545,-1.844197,0.247598,-3.776920,-3.650072,0.791096,0.040253,-1.961875,-0.621541,1.169788,-1.081970,0.212587,-0.367811,-0.223270,-0.032256,-1.150149,3.209053,0.970098,0.000000,0.000000,0.000000
2.333333,70,-2.877655,-1.870925,0.251186,-3.831658,-3.702972,0.802561,0.040837,-1.990308,-0.630549,1.186741,-1.097650,0.215668,-0.373141,-0.226506,-0.032723,-1.166818,3.255561,0.984157,0.000000,0.000000,0.000000
2.366667,71,-2.918764,-1.897652,0.254774,-3.886396,-3.755872,0.814027,0.041420,-2.018741,-0.639557,1.203695,-1.113331,0.218749,-0.378472,-0.229742,-0.033191,-1.183487,3.302069,0.998217,0.000000,0.000000,0.000000
2.400000,72,-2.959873,-1.924380,0.258363,-3.941134,-3.808771,0.825492,0.042003,-2.047174,-0.648564,1.220648,-1.129012,0.221830,-0.383802,-0.232978,-0.033658,-1.200155,3.348577,1.012276,0.000000,0.000000,0.000000
2.433333,73,-3.000983,-1.951107,0.261951,-3.995872,-3.861671,0.836957,0.042587,-2.075607,-0.657572,1.237602,-1.144693,0.224911,-0.389133,-0.236213,-0.034126,-1.216824,3.395085,1.026335,0.000000,0.000000,0.000000
2.466667,74,-3.042092,-1.977835,0.265539,-4.050610,-3.914570,0.848422,0.043170,-2.104040,-0.666580,1.254555,-1.160373,0.227992,-0.394464,-0.239449,-0.034593,-1.233493,3.441593,1.040395,0.000000,0.000000,0.000000
2.500000,75,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.533333,76,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.566667,77,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.600000,78,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.633333,79,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.666667,80,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.700000,81,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.733333,82,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
2.766667,83,-3.083201,-2.004562,0.269128,-4.105348,-3.967470,0.859887,0.043754,-2.132473,-0.675588,1.271508,-1.176054,0.231073,-0.399794,-0.242685,-0.035061,-1.250162,3.488101,1.054454,0.000000,0.000000,0.000000
