# Index	X	Y
0	6512.344754	2406.547287
1	6512.292358	2543.285131
2	6512.241199	2680.020583
3	6512.191278	2816.753642
4	6512.142595	2953.484301
5	6512.095150	3090.212559
6	6512.048943	3226.938411
7	6654.056047	2406.379650
8	6654.003387	2543.117018
9	6653.951965	2679.851994
10	6653.901778	2816.584576
11	6653.852829	2953.314760
12	6653.805116	3090.042541
13	6653.758639	3226.767917
14	6795.767711	2406.210040
15	6795.714789	2542.946930
16	6795.663103	2679.681429
17	6795.612651	2816.413534
18	6795.563435	2953.143240
19	6795.515454	3089.870544
20	6795.468708	3226.595442
21	6937.479745	2406.038458
22	6937.426560	2542.774869
23	6937.374609	2679.508889
24	6937.323892	2816.240515
25	6937.274409	2952.969742
26	6937.226161	3089.696567
27	6937.179146	3226.420987
28	7079.192142	2405.864903
29	7079.138695	2542.600834
30	7079.086480	2679.334374
31	7079.035498	2816.065520
32	7078.985748	2952.794267
33	7078.937231	3089.520612
34	7078.889947	3226.244551
35	7220.904900	2405.689375
36	7220.851190	2542.424825
37	7220.798711	2679.157884
38	7220.747463	2815.888548
39	7220.697447	2952.616813
40	7220.648662	3089.342677
41	7220.601109	3226.066134
42	7362.618015	2405.511875
43	7362.564041	2542.246842
44	7362.511298	2678.979418
45	7362.459785	2815.709599
46	7362.409502	2952.437382
47	7362.360450	3089.162763
48	7362.312627	3225.885737
