# Index	X	Y
0	4047.57	14183.8
1	4047.24	13730.3
2	4047.67	13276.8
3	4047.34	12822.6
4	4047.55	12369.2
5	4047.87	11914.9
6	4047.86	11460.6
7	4048.02	11007.1
8	4519.45	14182.6
9	4519.36	13728.8
10	4519.49	13275.6
11	4519.2	12821.3
12	4519.48	12368
13	4519.81	11913.6
14	4519.66	11459.4
15	4519.96	11005.8
16	4992.57	14181.9
17	4992.25	13728.2
18	4992.62	13274.8
19	4992.4	12820.7
20	4992.55	12367.3
21	4993.07	11912.8
22	4992.82	11458.8
23	4992.97	11005.2
24	5464.79	14182.3
25	5464.51	13728.5
26	5464.71	13275.3
27	5464.42	12821.1
28	5464.8	12367.7
29	5465.05	11913.4
30	5464.79	11459.1
31	5465.1	11005.5
32	5937.58	14183
33	5937.34	13729.4
34	5937.65	13276.1
35	5937.32	12821.7
36	5937.61	12368.5
37	5937.82	11914
38	5937.7	11459.9
39	5938.03	11006.2
40	6410.25	14182.4
41	6410.08	13728.7
42	6410.43	13275.2
43	6410.12	12821.1
44	6410.33	12367.8
45	6410.57	11913.5
46	6410.44	11459.3
47	6410.78	11005.7
48	6881.82	14180.5
49	6881.61	13726.9
50	6881.77	13273.5
51	6881.53	12819.4
52	6881.81	12366
53	6882.03	11911.7
54	6881.86	11457.5
55	6882.26	11003.9
56	7354.06	14180.3
57	7353.86	13726.6
58	7354.04	13273.3
59	7353.94	12819
60	7354.16	12365.7
61	7354.53	11911.4
62	7354.29	11457.2
63	7354.52	11003.7
64	7825.97	14180.2
65	7825.79	13726.5
66	7826.08	13273.1
67	7825.78	12819
68	7826.14	12365.6
69	7826.39	11911.4
70	7826.11	11457.2
71	7826.43	11003.5
72	8298.26	14179.4
73	8298.07	13725.7
74	8298.22	13272.4
75	8297.98	12818.2
76	8298.31	12364.8
77	8298.64	11910.4
78	8298.35	11456.4
79	8298.7	11002.6
80	8770.82	14178.4
81	8770.57	13724.7
82	8770.8	13271.4
83	8770.5	12817.2
84	8770.76	12363.8
85	8771.12	11909.5
86	8770.85	11455.4
87	8771.18	11001.8
